Node,Network
1,4
2,4
3,5
4,5
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,4
18,4
19,4
20,4
21,2
22,2
23,5
24,5
25,5
26,5
27,2
28,2
29,4
30,4
31,5
32,5
33,4
34,4
35,5
36,5
37,2
38,2
39,2
40,2
41,2
42,2
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,4
58,4
59,3
60,3
61,1
62,1
63,4
64,4
65,5
66,5
67,5
68,5
69,4
70,4
71,2
72,2
73,4
74,4
75,4
76,4
77,2
78,2
79,4
80,4
81,4
82,4
83,4
84,4
85,5
86,5
87,5
88,5
89,5
90,5
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,6
